ID,Front,Back,Left,Right,X,Y
1,2,0,0,0,772.0000000000001,194.99999999991297
2,3,1,0,0,720.4303297821839,196.5582975597803
3,4,2,0,0,659.6463811453883,194.58033326012128
4,5,3,0,20,605.5510140280653,193.60114661575005
5,6,4,0,0,513.7122746827827,195.53331373721696
6,7,5,0,0,444.7533215204629,191.64198279636435
7,8,6,0,0,366.3048679739091,192.61015394269674
8,9,7,0,0,312.43100792639166,190.63391598808775
9,10,8,0,0,230.04064229096662,195.52426159422015
10,11,9,0,15,173.97955494041148,194.5648550884372
11,0,10,0,12,118.92614303552176,194.84792186055796
12,0,0,11,0,112.89393075144514,118.9131163386321
13,0,14,0,0,-773.6349245823741,193.49241364622873
14,13,15,0,23,-663.6204034219504,195.4682898596009
15,14,16,0,10,-556.1016306949704,192.5002177892706
16,15,17,0,0,-501.1346133827793,194.51100907718248
17,16,18,0,0,-439.17984338829245,195.49625659806395
18,17,19,0,0,-390.0073131265395,193.63801062048162
19,18,20,0,0,-302.671527178251,196.5022594148467
20,19,21,0,4,-252.2827612428424,196.5701416602452
21,20,22,0,0,-167.65593201460908,198.53452678992676
22,21,0,0,0,-80.99975186450605,192.65203691018837
23,0,0,14,24,-663.1788826685806,103.97946156271009
24,0,0,23,25,-661.2056698049329,-15.983663593781728
25,0,0,24,26,-664.859648933345,-111.89690737592049
26,29,0,25,27,-664.6765991518405,-174.10457775177053
27,28,31,26,30,-664.9220458809219,-227.94307009946766
28,0,27,29,0,-719.2698827542192,-225.91497643121292
29,0,26,0,28,-721.8563976293665,-174.64728213861426
30,0,0,27,0,-663.1116035099669,-303.2920751411349
31,27,0,0,0,-604.8625655750536,-228.97153504967795
